Date, Closing_Price, Opening_Price, High_Price, Low_Price, Volume, Change_Rate
2024-08-01,156.3,159.3,159.4,156.1,79.15M,-2.56%
2024-07-31,160.4,158.2,160.7,158.1,173.91M,1.07%
2024-07-30,158.7,158.8,159.2,158,138.14M,-0.63%
2024-07-29,159.7,158.7,160.2,158.4,126.28M,1.14%
2024-07-26,157.9,159.3,159.6,157.9,155.08M,-0.13%
2024-07-25,158.1,157,159,156.8,190.62M,-0.25%
2024-07-24,158.5,160,160.4,158.4,168.57M,-1.37%
2024-07-23,160.7,161.6,161.7,159.8,165.79M,0.50%
2024-07-22,159.9,159.5,159.9,157.9,136.12M,0.57%
2024-07-19,159,160.1,160.9,158.7,166.57M,-1.12%
2024-07-18,160.8,159.1,161.2,158.6,202.73M,0.69%
2024-07-17,159.7,157.5,159.9,157.4,181.48M,1.59%
2024-07-16,157.2,159.5,159.9,156.3,182.23M,-0.95%
2024-07-12,158.7,158.9,160.5,158.5,250.56M,-0.50%
2024-07-11,159.5,159,160.3,158.4,228.26M,0.76%
2024-07-10,158.3,156.2,158.3,155.7,226.57M,1.15%
2024-07-09,156.5,154.3,157,153.5,214.95M,1.43%
2024-07-08,154.3,155,155.3,152.9,250.58M,-1.03%
2024-07-05,155.9,157.5,157.6,155.7,199.50M,-1.08%
2024-07-04,157.6,159,159.1,157.2,220.24M,-0.57%
2024-07-03,158.5,157,158.5,156.7,262.91M,1.47%
2024-07-02,156.2,157,157.1,155.3,258.89M,0.00%
2024-07-01,156.2,154.1,156.4,153.2,285.90M,2.90%
2024-06-28,151.8,151.9,153.5,151.6,243.81M,0.33%
2024-06-27,151.3,150.4,151.3,149.7,210.60M,0.00%
2024-06-26,151.3,151,151.4,149.3,211.79M,0.27%
2024-06-25,150.9,149.4,150.9,148.6,210.78M,1.00%
2024-06-24,149.4,148,149.5,147.5,213.45M,1.63%
2024-06-21,147,146,148.6,146,244.11M,0.68%
2024-06-20,146,145.7,146.6,145.3,174.17M,0.27%
2024-06-19,145.6,145.5,145.8,144.4,199.45M,0.07%
2024-06-18,145.5,144,146.4,144,188.53M,0.41%
2024-06-17,144.9,145.2,146.5,144.5,234.21M,-1.09%
2024-06-14,146.5,146,146.9,145.4,421.26M,-0.88%
2024-06-13,147.8,148,148.4,147,288.60M,-0.14%
2024-06-12,148,149.9,150,147.6,362.47M,-1.46%
2024-06-11,150.2,150.5,151.6,150.2,171.47M,-0.66%
2024-06-10,151.2,150.4,151.4,149.5,205.29M,0.80%
2024-06-07,150,150,150.6,150,260.57M,-0.86%
2024-06-06,151.3,152,152.1,150.5,324.09M,-0.79%
2024-06-05,152.5,152.6,153,152,212.28M,-1.10%
2024-06-04,154.2,154.5,154.7,153.6,151.72M,-0.52%
2024-06-03,155,155.9,156.4,154.6,156.84M,0.45%
2024-05-31,154.3,152,154.7,152,301.19M,1.38%
2024-05-30,152.2,151.8,153,151.2,170.57M,0.13%
2024-05-29,152,153.6,154.4,152,215.77M,-1.17%
2024-05-28,153.8,156.2,156.8,153.2,236.01M,-1.28%
2024-05-27,155.8,153.5,155.8,152.9,217.61M,2.10%
2024-05-24,152.6,152,152.8,151.4,200.56M,-0.13%
2024-05-23,152.8,153.8,154.3,152,211.37M,-1.10%